player_id,talent_total_p96,talent_posterior_sd,weight_prior_league,weight_prior_season,weight_live_season,prior_season_rate,live_season_rate,prior_season_minutes,live_season_minutes,league_prior_rate,prior_source,talent_total_p96_low,talent_total_p96_high,slug,player_name,nationality,birth_date,current_team_name,current_team_abbreviation,sample_status,live_minutes,evidence_minutes,talent_percentile,talent_percentile_low,talent_percentile_high,talent_rank,in_live_season
Vj58BnDLQ8,0.18789892974120223,0.08053156151893243,0.6358037327734474,0.10051596154962442,0.26368030567692813,0.43035889328063237,0.4242995073891626,1012.0,2436.0,0.05152780060257464,prior_season_available,0.05543629883910875,0.3203615606432957,matt-turner,Matt Turner,USA,1994-06-24,New England Revolution,NER,qualified,2436.0,3448.0,98.8545154946048,43.88919895816723,100.0,1.0,True
jYQJagNWqG,0.1638001767871131,0.08069974416676902,0.6384621392697488,0.0,0.3615378607302513,,0.36206893164142456,0.0,2443.0,0.05152780060257464,no_prior_season,0.031060910047041007,0.2965394435271852,brian-schwake,Brian Schwake,USA,2001-08-24,Nashville SC,NSH,qualified,2443.0,2443.0,96.89742465316536,29.158693456652312,100.0,2.0,True
315VXNkGQ9,0.12416689320600456,0.08146755164646849,0.6506690690469464,0.3493309309530536,0.0,0.25946556438791735,,3145.0,0.0,0.05152780060257464,prior_season_available,-0.009835304450455981,0.2581690908624651,carlos-coronel,Carlos Coronel,Brazil,1996-12-29,New York Red Bulls,NYRB,qualified,0.0,3145.0,96.08581831712114,12.45216073991389,100.0,3.0,False
9z5kGga5A3,0.11156493772325715,0.07343182559685972,0.5286393455629242,0.26092177081176693,0.21043888362530896,0.25725794511806,0.08173924914675768,3134.0,2344.0,0.05152780060257464,prior_season_available,-0.009219666809923102,0.2323495422564374,sean-johnson,Sean Johnson,USA,1989-05-31,D.C. United,DCU,qualified,2344.0,5478.0,94.26593313134535,12.45216073991389,100.0,4.0,True
ljqE2keVQx,0.11026635316890274,0.08506744996725016,0.7094432509515365,0.07369964358943266,0.2168571054590308,-0.20448316831683166,0.4093969585736759,303.0,1907.0,0.05152780060257464,prior_season_available,-0.029657150290608253,0.25018985662841375,jt-marcinkowski,JT Marcinkowski,USA,1997-05-09,LA Galaxy,LAG,qualified,1907.0,2210.0,91.71184819008133,8.797772816669324,100.0,5.0,True
7vQ7rKGYqD,0.1080562576473364,0.08290615740187134,0.6738518206203827,0.08482370187700917,0.2413244775026081,-0.06075017964071856,0.32523518267929635,835.0,2217.0,0.05152780060257464,prior_season_available,-0.02831223590103671,0.2444247511957095,andrew-thomas,Andrew Thomas,USA,1998-09-01,Seattle Sounders FC,SEA,qualified,2217.0,3052.0,89.9637218944347,8.797772816669324,100.0,6.0,True
p6qbeEd350,0.10642536132504511,0.07381030961123292,0.5341028396947758,0.2965029080406672,0.1693942522645569,0.13243786008230451,0.23398672340425533,3645.0,2350.0,0.05152780060257464,prior_season_available,-0.01498179401123205,0.22783251666132226,brad-stuver,Brad Stuver,USA,1991-04-16,Austin FC,ATX,qualified,2350.0,5995.0,86.958153936108,12.197682453622495,100.0,7.0,True
gOMnRzymMw,0.10641971813178737,0.077744389838941,0.5925553884438831,0.20485877646884756,0.20258583508726927,0.14898461538461538,0.22393390036452004,2340.0,2469.0,0.05152780060257464,prior_season_available,-0.021458423328602247,0.23429785959217697,james-pantemis,James Pantemis,Canada,1997-02-21,Portland Timbers FC,POR,qualified,2469.0,4809.0,83.36888056131399,12.197682453622495,100.0,8.0,True
Vj58B64EQ8,0.10333208722914387,0.09243852879645484,0.8377161393713667,0.15219250670639353,0.01009135392223978,0.3969989847715736,-0.02515555555555552,788.0,108.0,0.05152780060257464,prior_season_available,-0.04871576196373069,0.25537993642201845,pablo-sisniega,Pablo Sisniega,Mexico,1995-07-07,San Diego FC,SD,limited,108.0,896.0,81.47358209748579,2.9029128793919097,100.0,9.0,True
Oa5wV6LWM1,0.10099147099466703,0.0971993064631683,0.9262264208696117,0.0737735791303883,0.0,0.7220072727272727,,330.0,0.0,0.05152780060257464,prior_season_available,-0.05888716060175671,0.2608701025910908,tomas-romero,Tomás Romero,El Salvador,2000-12-19,New York City FC,NYC,limited,0.0,330.0,81.17591559028331,2.9029128793919097,100.0,10.0,False
0x5g2mYrM7,0.0954500267277468,0.08424377874421145,0.695771300132808,0.09906482634587085,0.20516387352132104,0.6796596727622715,-0.03768648648648649,1039.0,1332.0,0.05152780060257464,prior_season_available,-0.043118658134630644,0.23401871159012425,michael-collodi,Michael Collodi,USA,2001-05-25,FC Dallas,FCD,qualified,1332.0,2371.0,80.38822888428214,4.740737787699994,100.0,11.0,True
7VqG07YAQv,0.08720295102883288,0.06426673135257373,0.40491443258691096,0.3338476912365352,0.261237876176554,0.005339178082191784,0.24711626642501133,4015.0,2207.0,0.05152780060257464,prior_season_available,-0.018506415011941557,0.19291231706960732,yohei-takaoka,Yohei Takaoka,Japan,1996-03-16,Vancouver Whitecaps FC,VAN,qualified,2207.0,6222.0,77.53348748206028,12.197682453622495,100.0,12.0,True
NPqxeGOZQ9,0.0858364826772388,0.0762758983777704,0.5703815851665115,0.24150299307234674,0.18811542176114174,-0.02013592370187213,0.3259108655616943,2831.0,1629.0,0.05152780060257464,prior_season_available,-0.03962620527976647,0.21129917063424408,daniel,Daniel,Brazil,1994-05-06,FC Dallas,FCD,qualified,1629.0,4460.0,73.98474459150587,6.591186945197469,100.0,13.0,True
4wM4J01Nqj,0.08438548279316355,0.08459635194856269,0.7016073072825114,0.22527181560027482,0.07312087711721382,0.14200079840319363,0.22215849056603768,1503.0,530.0,0.05152780060257464,prior_season_available,-0.05476313338251604,0.22353409896884313,rocco-rios-novo,Rocco Rios Novo,Argentina,2002-06-04,Inter Miami CF,MIA,provisional,530.0,2033.0,71.82765906553979,2.9029128793919097,100.0,14.0,True
0x5g2Z8ZM7,0.0819523927515295,0.07284821058287853,0.5202697909430576,0.27205573763290686,0.20767447142403553,0.18147567567567566,0.027796078431372558,3552.0,2448.0,0.05152780060257464,prior_season_available,-0.03787225051022135,0.20177703601328034,kristijan-kahlina,Kristijan Kahlina,Croatia,1992-07-24,Charlotte FC,CLT,qualified,2448.0,6000.0,69.15895923031947,6.591186945197469,100.0,15.0,True
EGMP1vPx5a,0.08069457787401177,0.09812828081570954,0.9440156915149928,0.05598430848500726,0.0,0.5725090909090909,,330.0,0.0,0.05152780060257464,prior_season_available,-0.08071208055384568,0.24210123630186922,blake-gillingham,Blake Gillingham,USA,2002-10-11,Houston Dynamo FC,HOU,limited,0.0,330.0,67.16565672673151,0.0,100.0,16.0,False
gOMnlA96qw,0.0798605438157686,0.0727411988733144,0.5187423939914043,0.2421703463579753,0.23908725965062053,0.1149407135711904,0.10580093976932933,2999.0,2341.0,0.05152780060257464,prior_season_available,-0.03978808084757393,0.19950916847911113,chris-brady,Chris Brady,USA,2004-03-03,Chicago Fire FC,CHI,qualified,2341.0,5340.0,65.39161749853825,6.591186945197469,100.0,17.0,True
BLMv64wlMx,0.07726705234107424,0.0905835518841406,0.8044323450348977,0.02242708565045062,0.17314056931465166,1.5966,5.393258426966553e-05,16.0,1246.0,0.05152780060257464,prior_season_available,-0.07172963135304093,0.2262637360351894,duran-michael-ferree,Duran Michael Ferree,USA,2006-09-28,San Diego FC,SD,qualified,1246.0,1262.0,63.19832031042364,2.9029128793919097,100.0,18.0,True
2lqRjZp2qr,0.07571485408379128,0.09663579754144239,0.9155180338022513,0.0844819661977487,0.0,0.3378262210796915,,389.0,0.0,0.05152780060257464,prior_season_available,-0.08323688781993643,0.234666595987519,jacob-jackson,Jacob Jackson,USA,2000-04-25,FC Dallas,FCD,provisional,0.0,389.0,62.779062350502315,0.0,100.0,19.0,False
odMXRoXoqY,0.0743436567954412,0.07026128097730436,0.4839750348102206,0.31084578978404437,0.20517917540573505,0.08955195996663887,0.10512098969072164,3597.0,2425.0,0.05152780060257464,prior_season_available,-0.041225865926615285,0.18991317951749767,matt-freese,Matt Freese,USA,1998-09-02,New York City FC,NYC,qualified,2425.0,6022.0,60.77845107106788,6.591186945197469,100.0,20.0,True
ljqEjOpzQx,0.07322877655704076,0.0823813533808694,0.6653477271283669,0.218399411219549,0.11625286165208414,0.31768096054888506,-0.26181259338313767,2332.0,937.0,0.05152780060257464,prior_season_available,-0.06227649119490257,0.20873404430898407,zack-steffen,Zack Steffen,USA,1995-04-02,Colorado Rapids,COL,provisional,937.0,3269.0,57.69182214426195,2.9029128793919097,100.0,21.0,True
EGMP4WVMaY,0.06948376717980831,0.0667071290373285,0.4362498919408149,0.3489936486371994,0.2147564594219857,-0.0019759117896522467,0.2220857548509228,3537.0,2113.0,0.05152780060257464,prior_season_available,-0.04023969583950292,0.17920723019911955,hugo-lloris,Hugo Lloris,France,1986-12-26,Los Angeles FC,LAFC,qualified,2113.0,5650.0,54.728777972678465,6.591186945197469,97.7090309892096,22.0,True
N6MmeEN0ME,0.0684385336061536,0.08318562565673161,0.6784024499679905,0.11820993237581216,0.20338761765619748,0.3361627118644068,-0.030758135981665394,1003.0,1309.0,0.05152780060257464,prior_season_available,-0.06838964431433622,0.20526671152664341,nico-hansen,Nico Hansen,Denmark,2001-07-10,Colorado Rapids,COL,qualified,1309.0,2312.0,52.083665550417265,2.9029128793919097,100.0,23.0,True
